output_id,engine,system_prompt,train_set,test_set,t,d,score,accuracy,remarks
1,gpt-4o,"
Provide solutions for test puzzles
",single_3_3_0,single_3_3_1,3,3,0,0,
2,gpt-4o,"
Provide solutions for test puzzles
",single_3_3_0,single_3_3_0,3,3,10,1,
12,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_0,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
13,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_1,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
14,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_2,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
15,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_3,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
16,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_4,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
17,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_5,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
18,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_6,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
19,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_7,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
20,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_8,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
21,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_0,OneShot_3_3_9,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
22,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_0,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
23,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_1,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
24,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_2,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
25,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_3,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
26,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_4,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
27,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_5,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
28,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_6,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
29,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_7,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
30,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_8,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
31,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_1,OneShot_3_3_9,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
32,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_0,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
33,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_1,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
34,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_2,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
35,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_3,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
36,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_4,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
37,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_5,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
38,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_6,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
39,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_7,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
40,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_8,3,3,1,0.3333,"Why did it return 3 answers? Also, Prompt was not explanatory, all problem ids were kept same (000)"
41,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_2,OneShot_3_3_9,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
42,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_0,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
43,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_1,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
44,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_2,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
45,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_3,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
46,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_4,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
47,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_5,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
48,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_6,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
49,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_7,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
50,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_8,3,3,1,1,"Prompt was not explanatory, all problem ids were kept same (000)"
51,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_3,OneShot_3_3_9,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
52,gpt-4o,"
Provide solutions for test puzzles
",OneShot_3_3_4,OneShot_3_3_0,3,3,0,0,"Prompt was not explanatory, all problem ids were kept same (000)"
