output_id,engine,system_prompt,train_set,test_set,t,d,score,accuracy,remarks
848,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_80,OneShot_6_3_81,6,3,1,1.0,
849,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_80,OneShot_6_3_82,6,3,0,0.0,
850,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_80,OneShot_6_3_83,6,3,0,0.0,
851,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_80,OneShot_6_3_84,6,3,0,0.0,
852,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_80,OneShot_6_3_85,6,3,1,1.0,
853,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_80,OneShot_6_3_86,6,3,0,0.0,
854,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_80,OneShot_6_3_87,6,3,0,0.0,
855,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_80,OneShot_6_3_88,6,3,0,0.0,
856,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_80,OneShot_6_3_89,6,3,1,1.0,
857,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_81,OneShot_6_3_80,6,3,0,0.0,
858,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_81,OneShot_6_3_82,6,3,0,0.0,
859,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_81,OneShot_6_3_83,6,3,0,0.0,
860,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_81,OneShot_6_3_84,6,3,0,0.0,
861,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_81,OneShot_6_3_85,6,3,1,1.0,
862,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_81,OneShot_6_3_86,6,3,1,1.0,
863,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_81,OneShot_6_3_87,6,3,0,0.0,
864,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_81,OneShot_6_3_88,6,3,0,0.0,
865,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_81,OneShot_6_3_89,6,3,1,1.0,
866,gpt-4o,Provide solutions for test puzzles.,OneShot_6_3_82,OneShot_6_3_80,6,3,0,0.0,
